"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"Ali Adnan Kadhim","iq IRQ","DF","Vancouver",25,28,"2,412",1,3,6,0.04,0.11,0.15,2.4,1.9,0.09,0.07,65,2.43,37,7,7,0.26,4,1,1879,523,69,103,67,77,4
"Allan Cruz","cr CRC","MF,FW","FC Cincinnati",22,22,"1,744",7,0,5,0.36,0,0.36,4.9,0.9,0.25,0.05,26,1.34,19,1,1,0.05,1,0,742,276,10,25,40,11,0
"Amro Tarek","eg EGY","DF","NY Red Bulls",26,20,"1,476",1,1,6,0.06,0.06,0.12,0.9,1.1,0.05,0.07,14,0.85,11,0,3,0.18,2,0,681,72,1,2,50,1,0
"André Horta","pt POR","MF","Los Angeles FC",22,4,"184",0,0,1,0,0,0,0.2,0.1,0.11,0.03,6,2.93,6,0,0,0,0,0,145,61,1,3,33.3,2,0
"Andre Shinyashiki","br BRA","FW,MF","Colorado",23,31,"1,670",7,3,3,0.38,0.16,0.54,6.5,3.3,0.35,0.18,61,3.29,38,0,8,0.43,2,0,818,382,55,79,69.6,57,5
"Andreas Ivan","ro ROU","FW,MF","NY Red Bulls",24,12,"485",1,2,0,0.19,0.37,0.56,1.2,0.5,0.22,0.09,10,1.86,8,1,2,0.37,2,0,264,145,8,18,44.4,9,0
"Andrés Flores","sv SLV","MF","Portland",28,15,"779",0,1,0,0,0.12,0.12,0.5,0.1,0.06,0.01,7,0.81,7,0,1,0.12,1,0,434,138,5,9,55.6,6,1
"Andrés Ríos","ar ARG","MF,FW","San Jose",29,10,"263",1,0,1,0.34,0,0.34,0.6,0.7,0.21,0.24,16,5.48,13,0,0,0,0,0,188,92,6,9,66.7,6,1
"Andreu Fontàs","es ESP","DF","Sporting KC",29,13,"965",0,0,2,0,0,0,0.4,0.1,0.04,0.01,13,1.21,10,0,0,0,0,0,904,35,3,3,100,3,0
"Andrew Gutman","us USA","DF","FC Cincinnati",22,8,"480",0,1,2,0,0.19,0.19,0.2,0.3,0.03,0.05,8,1.5,7,0,2,0.37,2,0,352,82,7,15,46.7,8,0
"Andy Rose","au AUS","MF,DF","Vancouver",28,24,"1,849",1,1,2,0.05,0.05,0.1,1.6,0,0.08,0,13,0.63,9,0,2,0.1,1,0,1070,109,4,4,100,4,0
"Angelo Rodríguez","co COL","FW","Minnesota",29,28,"1,752",5,1,2,0.26,0.05,0.31,10.2,1.9,0.52,0.1,48,2.47,29,0,6,0.31,1,0,623,354,17,33,51.5,19,4
"Aníbal Godoy","pa PAN","MF","San Jose",28,15,"1,344",0,1,8,0,0.07,0.07,0.2,0.9,0.01,0.06,27,1.81,26,0,2,0.13,2,0,993,127,8,14,57.1,8,0
"Anthony Fontana","us USA","MF,FW","Philadelphia",19,8,"119",1,0,0,0.76,0,0.76,0.5,0,0.41,0,4,3.03,4,0,1,0.76,1,0,97,37,3,5,60,3,0
"Anthony Jackson-Hamel","ca CAN","FW","Montreal",25,16,"617",3,0,0,0.44,0,0.44,1.8,0.7,0.26,0.1,15,2.19,8,0,3,0.44,0,0,205,109,4,6,66.7,4,1
"Anton Tinnerholm","se SWE","DF","NYCFC",27,30,"2,633",1,7,4,0.03,0.24,0.27,3.2,3.5,0.11,0.12,80,2.83,56,5,12,0.42,11,0,1808,564,30,50,60,32,4
"Antonio Delamea Mlinar","si SVN","DF","New England",27,17,"1,365",2,1,7,0.13,0.07,0.2,1.1,0.1,0.07,0,5,0.33,3,0,2,0.13,1,0,752,23,4,4,100,4,0
"Artur","br BRA","MF","Columbus",22,30,"2,452",0,0,4,0,0,0,0.4,0.4,0.02,0.02,33,1.21,30,0,1,0.04,1,0,1831,295,26,36,72.2,26,3
"Auro","br BRA","DF","Toronto FC",23,23,"1,889",0,3,0,0,0.14,0.14,0.2,3,0.01,0.14,36,1.72,28,2,4,0.19,3,0,1598,519,30,48,62.5,31,4
"Auston Trusty","us USA","DF","Philadelphia",20,22,"1,965",1,0,5,0.05,0,0.05,1,0.3,0.05,0.01,13,0.6,12,0,0,0,0,0,1315,50,7,12,58.3,8,0
"Ayo Akinola","us USA","FW,MF","Toronto FC",19,8,"253",1,0,1,0.36,0,0.36,1.3,0.1,0.45,0.03,7,2.49,5,0,2,0.71,1,0,100,67,2,4,50,2,0
"Bacary Sagna","fr FRA","DF","Montreal",35,26,"2,179",1,2,7,0.04,0.08,0.12,0.8,2.3,0.03,0.09,45,1.86,42,1,8,0.33,7,0,1741,558,15,23,65.2,16,0
"Bastian Schweinsteiger","de GER","DF,MF","Chicago",34,30,"2,676",1,3,10,0.03,0.1,0.13,1.1,1.5,0.04,0.05,35,1.22,31,0,4,0.14,3,0,2062,247,19,24,79.2,21,1
"Benji Michel","ht HAI","FW,MF","Orlando City",21,17,"943",5,1,0,0.48,0.1,0.57,2.8,0.5,0.27,0.04,15,1.43,11,0,2,0.19,1,0,345,175,19,38,50,22,1
"Benny Feilhaber","us USA","MF","Sporting KC",34,17,"1,104",2,1,3,0.16,0.08,0.24,1.7,1.5,0.14,0.13,27,2.2,21,3,1,0.08,1,0,387,105,13,20,65,13,1
"Bill Tuiloma","nz NZL","DF","Portland",23,25,"1,917",1,0,1,0.05,0,0.05,1.4,0.1,0.06,0,9,0.42,6,0,0,0,0,0,1099,63,5,7,71.4,5,0
"Bojan Krki?","es ESP","MF,FW","Montreal",28,8,"608",3,0,0,0.44,0,0.44,2.2,0.6,0.33,0.09,21,3.11,11,0,0,0,0,0,300,173,24,37,64.9,25,1
"Boniek García","hn HON","MF","Houston",34,32,"2,584",0,1,5,0,0.03,0.03,0.8,1.8,0.03,0.06,76,2.65,69,2,5,0.17,5,0,1650,453,33,47,70.2,33,2
"Botond Baráth","hu HUN","DF","Sporting KC",26,21,"1,748",1,0,6,0.05,0,0.05,1,0.3,0.05,0.01,6,0.31,4,0,1,0.05,0,0,1199,30,6,6,100,6,0
"Bradley Wright-Phillips","eng ENG","FW","NY Red Bulls",33,24,"1,098",2,1,3,0.16,0.08,0.25,3.6,1.8,0.3,0.14,24,1.97,19,0,3,0.25,2,0,493,284,10,18,55.6,10,0
"Brandon Bye","us USA","DF","New England",23,30,"2,656",2,2,6,0.07,0.07,0.14,1.4,2.8,0.05,0.09,47,1.59,39,2,4,0.14,3,1,1706,561,21,53,39.6,23,3
"Brandon Servania","us USA","MF","FC Dallas",19,18,"1,119",2,1,2,0.16,0.08,0.24,2.3,0.6,0.18,0.05,33,2.65,23,0,4,0.32,3,0,732,189,13,18,72.2,13,0
"Brandon Vazquez","us USA","FW","Atlanta",20,11,"637",2,1,1,0.28,0.14,0.42,3.3,1.1,0.46,0.15,15,2.12,11,0,3,0.42,1,0,259,147,10,16,62.5,11,1
"Brandt Bronico","us USA","MF,DF","Chicago",23,29,"1,863",1,2,2,0.05,0.1,0.14,0.6,2,0.03,0.09,30,1.45,24,1,5,0.24,3,0,1117,410,19,33,57.6,21,1
"Brenden Aaronson","us USA","MF,FW","Philadelphia",18,28,"1,723",3,1,3,0.16,0.05,0.21,3.7,2.2,0.19,0.11,46,2.4,37,3,3,0.16,3,0,894,504,23,48,47.9,25,1
"Brent Kallman","us USA","DF","Minnesota",28,16,"1,281",0,1,2,0,0.07,0.07,0.1,0.6,0.01,0.04,4,0.28,4,0,1,0.07,1,0,747,12,1,1,100,1,0
"Bressan","br BRA","DF","FC Dallas",26,18,"1,118",1,1,1,0.08,0.08,0.16,0.3,0.4,0.02,0.04,16,1.29,14,2,1,0.08,1,0,884,122,4,9,44.4,5,1
"Brett Levis","ca CAN","DF,FW","Vancouver",25,9,"330",0,0,1,0,0,0,0.1,0.5,0.02,0.14,10,2.73,8,0,1,0.27,1,0,206,67,3,9,33.3,3,0
"Brian Fernández","ar ARG","FW","Portland",24,19,"1,410",11,1,4,0.7,0.06,0.77,8.4,2.6,0.54,0.17,39,2.49,29,0,2,0.13,1,0,464,305,19,34,55.9,21,2
"Brian White","us USA","FW","NY Red Bulls",22,19,"1,345",8,1,1,0.54,0.07,0.6,6.3,1.1,0.42,0.08,26,1.74,23,0,8,0.54,5,0,501,295,5,18,27.8,7,1
"Brooks Lennon","us USA","DF,FW","Real Salt Lake",21,28,"1,536",0,1,3,0,0.06,0.06,1,1.6,0.06,0.09,35,2.05,32,0,1,0.06,1,0,1083,357,24,34,70.6,25,0
"Bryan Acosta","hn HON","MF","FC Dallas",25,26,"2,074",2,1,12,0.09,0.04,0.13,2,2.3,0.09,0.1,54,2.34,39,11,2,0.09,1,1,1887,308,24,37,64.9,26,0
"C.J. Sapong","us USA","FW","Chicago",30,32,"2,551",13,1,3,0.46,0.04,0.49,11,2,0.4,0.07,55,2.01,38,0,11,0.4,3,0,926,446,25,40,62.5,29,2
"Carles Gil","es ESP","MF,FW","New England",26,34,"3,055",10,12,5,0.29,0.35,0.65,7.8,8.5,0.23,0.25,173,5.1,119,32,20,0.59,15,4,2489,1206,89,140,63.6,95,4
"Carlos Ascues","pe PER","MF,DF","Orlando City",26,17,"1,113",1,1,2,0.08,0.08,0.16,1.3,0.9,0.11,0.08,10,0.81,9,0,1,0.08,1,0,568,140,20,25,80,23,1
"Carlos Fierro","mx MEX","FW,MF","San Jose",24,7,"226",0,0,0,0,0,0,1.1,0,0.43,0.01,6,2.39,3,0,0,0,0,0,117,71,2,5,40,2,0
"Carlos Gruezo","ec ECU","MF","FC Dallas",23,9,"784",1,0,1,0.11,0,0.11,0.6,0.2,0.07,0.02,10,1.15,8,0,0,0,0,0,624,68,5,9,55.6,6,0
"Carlos Vela","mx MEX","FW","Los Angeles FC",29,31,"2,726",34,10,1,1.12,0.33,1.45,25.3,11.7,0.83,0.38,180,5.94,93,34,27,0.89,10,6,1675,1196,101,168,60.1,107,13
"Chase Gasper","us USA","DF","Minnesota",23,15,"1,292",0,0,7,0,0,0,0.3,0.5,0.02,0.03,23,1.6,19,1,1,0.07,1,0,844,223,22,25,88,23,0
"Chris Durkin","us USA","MF","D.C. United",18,13,"635",1,0,1,0.14,0,0.14,0.1,0.3,0.02,0.05,7,0.99,4,1,0,0,0,0,470,68,5,10,50,7,1
"Chris Pontius","us USA","FW","LA Galaxy",31,18,"694",2,2,0,0.26,0.26,0.52,2.6,1.9,0.34,0.24,17,2.2,15,0,3,0.39,2,0,378,211,7,10,70,8,1
"Chris Wondolowski","us USA","FW","San Jose",36,32,"1,982",15,2,3,0.68,0.09,0.77,14.3,2,0.65,0.09,43,1.95,34,0,3,0.14,2,0,575,329,6,14,42.9,6,0
"Christian Ramirez","us USA","FW","Los Angeles FC",27,17,"956",4,2,0,0.38,0.19,0.56,5.8,1.5,0.54,0.14,20,1.88,17,0,5,0.47,3,0,252,130,5,8,62.5,5,0
"Christopher Mueller","us USA","FW,MF","Orlando City",22,29,"1,369",5,3,1,0.33,0.2,0.53,2.3,3.4,0.15,0.22,49,3.22,33,5,7,0.46,5,0,914,561,37,69,53.6,41,2
"Claude Dielna","GPE","DF","Portland",31,15,"1,085",0,0,3,0,0,0,1.2,0.1,0.1,0.01,10,0.83,9,1,0,0,0,0,763,40,3,4,75,3,0
"Clement Bayiha","ca CAN","FW,MF","Montreal",19,11,"469",0,1,0,0,0.19,0.19,0.1,0.5,0.02,0.1,10,1.92,9,0,1,0.19,1,0,254,133,17,27,63,18,0
"Cole Bassett","us USA","MF","Colorado",17,20,"1,062",2,1,1,0.17,0.08,0.25,1.9,0.8,0.16,0.07,24,2.03,20,1,4,0.34,3,0,621,218,15,24,62.5,15,1
"Connor Lade","us USA","DF","NY Red Bulls",29,11,"845",1,1,0,0.11,0.11,0.21,0.2,0.4,0.02,0.04,7,0.75,5,0,1,0.11,1,0,538,155,10,15,66.7,10,2
"Corey Baird","us USA","FW,MF","Real Salt Lake",23,31,"2,104",5,3,6,0.21,0.13,0.34,3.7,2,0.16,0.09,53,2.27,40,1,6,0.26,3,0,922,431,31,69,44.9,36,6
"Cory Burke","jm JAM","FW","Philadelphia",27,7,"490",2,0,2,0.37,0,0.37,1.8,0.3,0.33,0.05,12,2.2,5,0,0,0,0,0,157,92,7,10,70,7,0
"Cristhian Paredes","py PAR","MF","Portland",20,22,"1,652",4,2,2,0.22,0.11,0.33,2.8,1.6,0.15,0.09,42,2.29,33,0,2,0.11,2,0,1016,275,15,24,62.5,16,0
"Cristian Cásseres","ve VEN","MF","NY Red Bulls",19,23,"1,801",3,3,5,0.15,0.15,0.3,1.7,1.9,0.08,0.1,44,2.2,34,0,3,0.15,3,0,1176,385,21,51,41.2,23,1
"Cristian Espinoza","ar ARG","FW,MF","San Jose",23,30,"2,531",2,10,8,0.07,0.36,0.43,4.2,9.5,0.15,0.34,160,5.69,99,21,19,0.68,11,3,1794,1118,82,139,59,87,7
"Cristian Higuita","co COL","MF","Orlando City",25,9,"648",0,0,5,0,0,0,0.2,0.1,0.03,0.02,13,1.81,9,0,4,0.56,3,0,521,136,6,11,54.5,7,0
"Cristian Pavón","ar ARG","FW","LA Galaxy",23,11,"975",3,4,1,0.28,0.37,0.65,2.7,4,0.25,0.37,53,4.89,36,3,10,0.92,5,0,598,367,31,53,58.5,34,1
"Cristian Penilla","ec ECU","MF,FW","New England",27,30,"1,781",6,5,2,0.3,0.25,0.56,6.4,5,0.33,0.25,81,4.09,64,3,10,0.51,9,1,978,565,40,72,55.6,44,0
"Cristian Roldan","us USA","MF,FW","Seattle",23,29,"2,537",6,3,4,0.21,0.11,0.32,3.5,2.9,0.13,0.1,73,2.59,61,0,9,0.32,7,0,1954,584,39,52,75,41,1
"Dairon Asprilla","co COL","FW,MF","Portland",26,13,"564",2,0,1,0.32,0,0.32,3.3,0.5,0.53,0.09,18,2.87,9,0,2,0.32,1,0,268,170,18,27,66.7,19,0
"DaMarcus Beasley","us USA","DF","Houston",36,12,"1,033",0,2,0,0,0.17,0.17,0.1,0.9,0.01,0.08,15,1.31,13,2,2,0.17,2,0,778,227,5,15,33.3,7,0
"Damir Kreilach","hr CRO","MF,FW","Real Salt Lake",29,32,"2,666",6,4,6,0.2,0.14,0.34,5.3,3.8,0.18,0.13,68,2.3,55,1,7,0.24,6,0,1838,531,17,27,63,17,1
"Daniel Lovitz","us USA","DF","Montreal",27,28,"2,520",0,1,5,0,0.04,0.04,0.6,2,0.02,0.07,43,1.54,29,9,5,0.18,3,0,1822,525,37,61,60.7,42,1
"Daniel Royer","at AUT","FW","NY Red Bulls",28,31,"2,322",11,6,1,0.43,0.23,0.66,14.5,4.7,0.56,0.18,64,2.48,51,2,14,0.54,8,0,1168,651,26,41,63.4,28,1
"Dániel Sallói","hu HUN","FW,MF","Sporting KC",22,28,"1,540",1,1,1,0.06,0.06,0.12,6.4,2.2,0.38,0.13,44,2.57,36,1,3,0.18,3,0,675,377,11,21,52.4,12,2
"Daniel Steres","us USA","DF","LA Galaxy",28,30,"2,614",3,0,4,0.1,0,0.1,2.6,0.7,0.09,0.03,13,0.45,11,0,0,0,0,0,1546,83,5,7,71.4,6,0
"Danilo Acosta","us USA","DF","Orlando City",21,8,"670",0,0,1,0,0,0,0.1,0.4,0.01,0.05,8,1.07,7,1,2,0.27,2,0,413,133,8,15,53.3,10,3
"Danny Hoesen","nl NED","FW","San Jose",28,30,"1,464",5,3,1,0.31,0.18,0.49,8.7,3,0.53,0.19,50,3.07,33,0,5,0.31,3,0,569,354,16,38,42.1,19,2
"Danny Wilson","sco SCO","MF,DF","Colorado",27,20,"1,329",2,1,4,0.14,0.07,0.2,2,0.4,0.14,0.02,15,1.02,10,1,2,0.14,1,1,642,65,11,12,91.7,12,0
"Darlington Nagbe","us USA","MF","Atlanta",28,33,"2,825",2,4,2,0.06,0.13,0.19,1.2,3.7,0.04,0.12,69,2.2,64,0,8,0.25,7,0,1965,526,48,54,88.9,49,0
"Darren Mattocks","jm JAM","FW","FC Cincinnati",28,21,"1,275",3,3,0,0.21,0.21,0.42,3.5,2.4,0.25,0.17,36,2.54,22,0,5,0.35,2,0,463,252,26,46,56.5,30,2
"Darwin Cerén","sv SLV","MF","Houston",29,13,"529",1,0,1,0.17,0,0.17,0.2,0.3,0.04,0.05,12,2.04,11,1,1,0.17,1,0,385,62,9,15,60,9,0
"Darwin Quintero","co COL","MF,FW","Minnesota",31,30,"2,210",10,5,5,0.41,0.2,0.61,11.8,5.2,0.48,0.21,112,4.56,84,5,12,0.49,8,0,1330,687,76,137,55.5,83,10
"David Accam","gh GHA","FW","Philadelphia",28,8,"337",4,2,0,1.07,0.53,1.6,2.2,0.2,0.59,0.06,8,2.14,6,0,3,0.8,1,0,136,88,6,12,50,6,0
"David Guzmán","cr CRC","MF","Columbus",28,16,"1,140",0,0,6,0,0,0,0.8,0.5,0.06,0.04,5,1.29,5,0,1,0.26,1,0,204,51,1,2,50,1,0
"Dax McCarty","us USA","MF","Chicago",31,32,"2,850",1,2,4,0.03,0.06,0.09,2.1,1.6,0.07,0.05,71,2.32,60,2,6,0.2,5,0,2216,424,24,28,85.7,25,1
"DeJuan Jones","us USA","DF,MF","New England",21,20,"1,295",1,0,0,0.07,0,0.07,1.3,0.7,0.09,0.05,25,1.74,17,1,1,0.07,1,0,720,267,19,34,55.9,19,0
"Derek Cornelius","ca CAN","DF","Vancouver",21,17,"1,426",1,0,4,0.06,0,0.06,0.7,0.2,0.04,0.01,7,0.44,6,0,1,0.06,1,0,886,18,1,1,100,1,0
"Derrick Etienne","ht HAI","FW,MF","NY Red Bulls",22,11,"465",1,1,0,0.19,0.19,0.39,0.8,0.6,0.15,0.13,8,1.55,5,0,1,0.19,1,0,242,141,7,17,41.2,7,0
"Diego Campos","cr CRC","DF","Chicago",23,10,"438",0,0,1,0,0,0,0,0.3,0,0.07,6,1.55,4,2,0,0,0,0,230,79,2,2,100,2,0
"Diego Chará","co COL","MF","Portland",32,30,"2,605",0,1,12,0,0.03,0.03,1.3,1.6,0.04,0.06,67,2.31,62,0,8,0.28,8,0,2052,370,32,38,84.2,32,1
"Diego Fagúndez","uy URU","MF,FW","New England",23,25,"1,175",2,3,2,0.15,0.23,0.38,2.4,1.8,0.19,0.14,36,2.76,31,4,5,0.38,4,1,661,281,11,28,39.3,12,1
"Diego Polenta","uy URU","DF","LA Galaxy",26,28,"2,519",1,2,10,0.04,0.07,0.11,1,2.3,0.04,0.08,35,1.25,33,1,6,0.21,6,0,1677,209,16,19,84.2,16,0
"Diego Rossi","uy URU","FW","Los Angeles FC",20,34,"2,902",16,6,2,0.5,0.19,0.68,12.3,7.4,0.38,0.23,110,3.41,81,2,14,0.43,10,0,1561,1022,59,138,42.8,66,5
"Diego Rubio","cl CHI","MF,FW","Colorado",25,26,"2,066",11,4,10,0.48,0.17,0.65,5.6,3.5,0.25,0.15,73,3.18,58,0,9,0.39,5,0,1013,463,40,63,63.5,41,1
"Diego Valeri","ar ARG","MF,FW","Portland",32,31,"2,603",8,8,4,0.28,0.28,0.55,8.3,8.3,0.29,0.29,196,6.78,110,63,26,0.9,16,4,1931,1107,45,69,65.2,52,1
"Djordje Mihailovic","us USA","MF","Chicago",20,27,"1,447",3,1,4,0.19,0.06,0.25,1.7,2.4,0.11,0.16,48,3.18,31,11,2,0.13,1,1,926,333,20,27,74.1,22,0
"Dom Dwyer","us USA","FW","Orlando City",28,27,"1,614",7,3,6,0.39,0.17,0.56,8.9,1.5,0.5,0.08,26,1.45,16,1,7,0.39,4,0,445,252,10,18,55.6,10,2
"Dominique Badji","sn SEN","FW","FC Dallas",26,28,"2,041",6,3,6,0.26,0.13,0.4,7.6,2.3,0.33,0.1,48,2.12,33,0,7,0.31,4,0,717,371,27,37,73,27,0
"Donny Toia","us USA","DF","Real Salt Lake",26,24,"2,144",1,1,3,0.04,0.04,0.08,0.7,1.3,0.03,0.06,27,1.13,23,3,2,0.08,2,0,1511,317,18,24,75,20,2
"Ebenezer Ofori","gh GHA","MF","NYCFC",23,20,"1,262",2,0,2,0.14,0,0.14,0.3,0.3,0.03,0.02,20,1.54,18,0,3,0.23,3,0,822,131,31,36,86.1,32,1
"Eddie Segura","co COL","DF","Los Angeles FC",21,34,"2,955",1,0,1,0.03,0,0.03,1.4,0.1,0.04,0,15,0.46,15,0,2,0.06,2,0,2251,94,3,3,100,3,0
"Edgar Castillo","us USA","DF","New England",32,20,"1,694",0,5,2,0,0.27,0.27,0.6,2,0.03,0.11,29,1.54,28,0,5,0.27,5,0,1150,309,27,42,64.3,27,0
"Eduard Atuesta","co COL","MF","Los Angeles FC",21,30,"2,636",3,8,8,0.1,0.27,0.38,2.6,4.7,0.09,0.16,112,3.82,79,9,19,0.65,15,1,2762,673,76,110,69.1,81,2
"Efrain Alvarez","mx MEX","MF,FW","LA Galaxy",16,14,"517",0,3,2,0,0.52,0.52,0.6,0.9,0.1,0.16,17,2.96,14,0,3,0.52,3,0,333,160,11,17,64.7,11,2
"Emerson Hyndman","us USA","MF,FW","Atlanta",22,15,"984",1,1,1,0.09,0.09,0.18,1.6,0.9,0.15,0.08,26,2.38,23,0,4,0.37,3,0,523,251,11,26,42.3,12,0
"Emil Cuello","us USA","MF,FW","LA Galaxy",21,9,"190",0,2,1,0,0.95,0.95,0.3,0.9,0.14,0.41,8,3.79,6,1,1,0.47,1,0,107,50,3,7,42.9,3,0
"Emmanuel Boateng","gh GHA","FW,MF","LA Galaxy",25,21,"881",1,0,1,0.1,0,0.1,1.8,1.9,0.18,0.2,28,2.86,25,0,3,0.31,2,0,383,234,8,24,33.3,9,1
"Emmanuel Ledesma","ar ARG","FW,MF","FC Cincinnati",30,26,"1,767",6,4,4,0.31,0.2,0.51,5.2,3.1,0.27,0.16,62,3.16,39,12,10,0.51,7,0,942,416,25,32,78.1,25,2
"Erickson Gallardo","ve VEN","MF,FW","Toronto FC",25,5,"244",0,1,0,0,0.37,0.37,0.4,0.6,0.15,0.22,6,2.21,6,0,3,1.11,3,0,120,69,6,10,60,6,1
"Erik Godoy","ar ARG","DF","Vancouver",25,29,"2,596",1,1,6,0.03,0.03,0.07,0.8,0.7,0.03,0.03,14,0.49,14,0,2,0.07,2,0,1637,87,7,13,53.8,9,0
"Erik Hurtado","us USA","FW","Sporting KC",28,13,"815",2,0,1,0.22,0,0.22,3.4,0.4,0.37,0.05,17,1.88,9,0,2,0.22,0,0,288,177,12,25,48,14,0
"Ethan Finlay","us USA","FW,MF","Minnesota",28,33,"1,911",7,2,3,0.33,0.09,0.42,7.4,2.9,0.35,0.13,36,1.7,26,0,4,0.19,3,0,673,357,22,39,56.4,25,2
"Everton Luiz","br BRA","MF","Real Salt Lake",30,27,"2,106",0,2,8,0,0.09,0.09,0.8,1,0.03,0.04,34,1.45,28,0,3,0.13,2,0,1162,221,35,49,71.4,37,3
"Ezequiel Barco","ar ARG","FW,MF","Atlanta",19,15,"980",4,2,1,0.37,0.18,0.55,3.6,2.6,0.33,0.24,62,5.69,35,12,4,0.37,2,1,627,336,16,26,61.5,17,0
"Fabian Herbers","de GER","MF,FW","Chicago",25,17,"776",3,1,3,0.35,0.12,0.46,1.9,1.1,0.22,0.13,29,3.36,24,1,3,0.35,2,0,442,220,6,11,54.5,6,0
"Fabio Álvarez","ar ARG","MF,FW","LA Galaxy",26,18,"1,272",3,4,5,0.21,0.28,0.5,2.6,2.1,0.18,0.15,39,2.76,33,0,4,0.28,4,0,831,349,17,26,65.4,18,2
"Fafà Picault","us USA","FW","Philadelphia",27,32,"1,867",4,4,4,0.19,0.19,0.39,7,3.1,0.34,0.15,44,2.12,25,0,6,0.29,5,0,875,527,42,61,68.9,47,0
"Fanendo Adi","ng NGA","FW","FC Cincinnati",28,12,"695",1,0,1,0.13,0,0.13,3.3,0.1,0.42,0.01,14,1.81,8,0,1,0.13,1,0,266,131,8,11,72.7,10,1
"Fatai Alashe","us USA","MF,DF","FC Cincinnati",25,11,"434",1,0,2,0.21,0,0.21,0.5,0,0.1,0,9,1.87,7,0,0,0,0,0,195,56,2,5,40,2,0
"Federico Higuaín","ar ARG","MF","Columbus",34,14,"1,134",1,3,2,0.08,0.24,0.32,2.2,2.5,0.18,0.2,49,3.89,31,12,8,0.63,6,2,925,350,29,41,70.7,29,0
"Felipe","br BRA","MF","D.C. United",28,9,"776",0,0,1,0,0,0,0.2,0.4,0.02,0.05,15,1.74,5,10,1,0.12,0,1,740,133,5,8,62.5,5,0
"Felipe Gutiérrez","cl CHI","MF","Sporting KC",28,32,"2,723",12,1,11,0.4,0.03,0.43,9.4,4.9,0.31,0.16,96,3.17,69,11,8,0.26,5,0,1981,607,30,37,81.1,32,1
"Florian Jungwirth","de GER","DF","San Jose",30,30,"2,671",0,1,4,0,0.03,0.03,1.1,0.1,0.04,0,21,0.71,16,0,3,0.1,2,0,2048,82,1,1,100,1,0
"Francisco Calvo","cr CRC","DF","Chicago",26,23,"1,936",3,1,4,0.14,0.05,0.19,3,1.2,0.14,0.06,27,1.26,23,1,3,0.14,2,1,1500,132,20,28,71.4,21,0
"Franco Escobar","ar ARG","DF","Atlanta",23,25,"2,012",1,2,9,0.04,0.09,0.13,0.8,1.6,0.04,0.07,32,1.43,26,4,5,0.22,5,0,1411,385,23,38,60.5,29,0
"Frankie Amaya","us USA","MF","FC Cincinnati",18,19,"1,241",0,0,2,0,0,0,0.6,1.6,0.04,0.12,44,3.19,24,12,1,0.07,0,0,730,223,11,18,61.1,11,1
"Frédéric Brillant","fr FRA","DF","D.C. United",33,34,"2,962",2,1,5,0.06,0.03,0.09,2.9,0.7,0.09,0.02,17,0.52,13,1,3,0.09,2,0,1713,89,3,4,75,3,0
"Fredy Montero","co COL","FW,MF","Vancouver",31,32,"2,097",8,2,1,0.34,0.09,0.43,7.7,2.2,0.33,0.09,57,2.45,31,11,7,0.3,3,0,982,529,33,51,64.7,37,3
"Gary Mackay-Steven","sco SCO","FW,MF","NYCFC",28,12,"524",1,1,0,0.17,0.17,0.34,2,1,0.35,0.18,16,2.75,12,1,2,0.34,1,0,262,128,4,10,40,5,0
"Gastón Sauro","ar ARG","DF","Columbus",28,15,"1,285",2,0,4,0.14,0,0.14,0.7,0.8,0.05,0.06,7,0.49,5,0,0,0,0,0,790,53,1,1,100,1,0
"Gerso Fernandes","gw GNB","FW,MF","Sporting KC",27,25,"1,749",2,6,5,0.1,0.31,0.41,5.6,4.5,0.29,0.23,63,3.24,38,0,13,0.67,5,0,745,462,41,90,45.6,48,3
"Giancarlo González","cr CRC","DF","LA Galaxy",30,20,"1,429",1,0,5,0.06,0,0.06,0.7,0.2,0.04,0.01,6,0.38,4,1,1,0.06,1,0,723,23,3,4,75,3,0
"Gianluca Busio","us USA","MF","Sporting KC",16,22,"922",3,1,1,0.29,0.1,0.39,4.2,0.7,0.41,0.07,34,3.32,23,2,4,0.39,1,0,541,242,8,16,50,11,2
"Gonzalo Nicolás Martínez","ar ARG","FW,MF","Atlanta",25,32,"2,151",5,7,2,0.21,0.29,0.5,8,6.2,0.33,0.26,136,5.69,81,25,17,0.71,12,1,1612,850,70,106,66,72,9
"Greg Garza","us USA","DF","FC Cincinnati",27,13,"908",0,0,1,0,0,0,0,0.8,0,0.08,19,1.88,19,0,0,0,0,0,702,162,5,13,38.5,8,0
"Guram Kashia","ge GEO","DF","San Jose",31,23,"1,905",0,0,2,0,0,0,1.5,0.2,0.07,0.01,10,0.47,9,0,0,0,0,0,1485,39,6,7,85.7,6,1
"Gustavo Bou","ar ARG","FW,MF","New England",28,14,"1,156",9,1,1,0.7,0.08,0.78,4.1,1.1,0.32,0.08,43,3.35,28,4,6,0.47,4,0,651,422,38,69,55.1,44,7
