"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"Robin Jansson","se SWE","DF","Orlando City",27,28,"2,421",0,0,6,0,0,0,0.7,0,0.03,0,6,0.22,4,0,0,0,0,0,1254,31,2,2,100,2,0
"Robin Lod","fi FIN","FW,MF","Minnesota",25,10,"583",0,0,0,0,0,0,1.2,0.3,0.18,0.04,19,2.93,18,0,0,0,0,0,286,134,7,13,53.8,8,0
"Roger Espinoza","hn HON","MF","Sporting KC",32,16,"1,147",0,1,5,0,0.08,0.08,1,1.5,0.08,0.12,37,2.9,32,1,3,0.24,3,0,656,243,13,19,68.4,14,1
"Roland Lamah","be BEL","MF,FW","FC Cincinnati",31,28,"1,782",1,3,0,0.05,0.15,0.2,2.2,2.1,0.11,0.11,53,2.68,35,3,8,0.4,4,0,868,418,36,59,61,42,2
"Rolf Feltscher","ve VEN","DF","LA Galaxy",28,25,"2,184",1,3,7,0.04,0.12,0.16,1.8,3.5,0.07,0.14,48,1.98,43,3,5,0.21,5,0,1494,546,17,28,60.7,19,1
"Romain Alessandrini","fr FRA","FW","LA Galaxy",29,5,"282",0,0,1,0,0,0,0.5,0.3,0.15,0.1,16,5.11,9,6,3,0.96,3,0,248,165,7,11,63.6,7,0
"Romain Métanire","mg MAD","DF","Minnesota",28,27,"2,430",1,4,5,0.04,0.15,0.19,0.3,3.3,0.01,0.12,80,2.96,69,9,7,0.26,6,0,1948,689,56,75,74.7,58,2
"Romario Ibarra","ec ECU","FW","Minnesota",24,8,"381",2,0,1,0.47,0,0.47,1.2,0.2,0.28,0.06,6,1.42,5,0,2,0.47,2,0,139,74,7,10,70,9,0
"Romario Williams","jm JAM","FW,MF","Columbus",24,7,"122",1,0,0,0.74,0,0.74,0.6,0.3,0.46,0.24,5,3.69,4,0,0,0,0,0,48,25,2,2,100,2,0
"Romell Quioto","hn HON","FW","Houston",27,18,"793",2,2,5,0.23,0.23,0.45,2.3,2.6,0.26,0.29,38,4.31,22,5,4,0.45,2,0,481,282,17,38,44.7,22,0
"Rónald Matarrita","cr CRC","DF","NYCFC",24,24,"1,979",1,1,7,0.05,0.05,0.09,1.7,2.7,0.08,0.12,52,2.4,34,13,3,0.14,3,0,1653,461,38,56,67.9,42,3
"Rudy Camacho","fr FRA","DF","Montreal",27,17,"1,464",1,0,4,0.06,0,0.06,1,0.3,0.06,0.02,8,0.49,7,1,0,0,0,0,1159,53,10,10,100,10,0
"Russell Canouse","us USA","MF,DF","D.C. United",23,26,"2,149",0,0,5,0,0,0,0.5,0.4,0.02,0.02,23,0.96,21,0,1,0.04,1,0,1497,198,10,19,52.6,10,0
"Ryan Hollingshead","us USA","DF","FC Dallas",27,34,"2,961",6,1,3,0.18,0.03,0.21,3.7,1.9,0.11,0.06,61,1.85,46,3,7,0.21,4,0,2252,573,46,77,59.7,51,0
"Saad Abdul-Salaam","us USA","DF","Seattle",27,18,"1,060",0,0,2,0,0,0,0.2,0.7,0.01,0.06,13,1.1,11,1,0,0,0,0,673,162,13,16,81.3,13,0
"Sacha Kljestan","us USA","MF,FW","Orlando City",33,23,"1,351",1,3,3,0.07,0.2,0.27,2.1,2.1,0.14,0.14,45,3,35,4,5,0.33,4,0,1051,473,16,25,64,16,2
"Sam Johnson","lr LBR","FW","Real Salt Lake",25,24,"1,301",9,0,1,0.62,0,0.62,4.8,0.3,0.33,0.02,19,1.31,16,0,2,0.14,1,0,428,201,11,17,64.7,11,0
"Sam Nicholson","sco SCO","FW,MF","Colorado",24,27,"1,770",2,3,2,0.1,0.15,0.25,3.6,2.6,0.18,0.13,53,2.69,32,1,6,0.31,5,0,787,428,44,73,60.3,46,0
"Santiago Patiño","us USA","FW","Orlando City",21,11,"322",2,1,1,0.56,0.28,0.84,2.4,1.1,0.66,0.3,9,2.52,5,0,1,0.28,1,0,104,52,3,6,50,3,0
